id;name;vulnerableVersionRange;severity;date
1;@risingstack/protect;<= 1.2.0;3;2018-04-25T14:30:43Z
2;parsejson;<= 0.0.3;3;2018-07-24T20:11:13Z
3;goserv;<= 1.0.0;3;2018-07-23T20:49:03Z
6;html-janitor;<= 2.0.2;3;2018-07-24T20:06:17Z
7;sqliter;<= 1.0.2;2;2018-07-23T20:50:04Z
8;safer-eval;<= 1.3.6;4;2019-12-11T02:01:44Z
9;localhost-now;<= 1.0.2;3;2019-03-25T16:17:05Z
10;html-pages;<= 2.1.3;3;2019-02-07T18:14:44Z
11;buttle;<= 0.2.0;3;2018-09-18T13:47:57Z
12;memjs;<= 1.2.0;2;2018-10-10T17:25:12Z
13;static-resource-server;<= 1.7.2;3;2019-02-07T18:18:04Z
14;materialize-css;<= 1.0.0;2;2019-04-09T19:44:40Z
15;materialize-css;<= 1.0.0;2;2019-04-09T19:44:38Z
17;markdown-it-toc-and-anchor;< 4.2.0;2;2020-09-01T21:26:50Z
18;jingo;< 1.9.2;3;2020-09-01T21:25:46Z
19;md-data-table;>= 0.0.0;3;2020-09-01T21:24:41Z
20;buefy;< 0.7.2;3;2020-09-01T21:23:38Z
21;knightjs;<= 0.0.1;3;2018-11-06T23:11:10Z
22;tianma-static;<= 1.0.4;4;2018-11-06T23:12:01Z
23;takeapeek;<= 0.2.2;3;2018-11-06T23:12:30Z
24;text-qrcode;>= 0.0.0;3;2020-09-01T21:22:35Z
26;samsung-remote;< 1.3.5;4;2020-09-01T21:20:28Z
27;ascii-art;<= 1.4.2;1;2020-09-01T21:19:23Z
28;browserify-hmr;< 0.4.0;3;2020-09-01T21:18:20Z
29;express-cart;<= 1.1.7;3;2020-09-01T21:17:16Z
30;merge-objects;>= 0.0.0;1;2020-09-01T21:16:13Z
31;merge-recursive;<= 0.0.3;1;2018-09-18T13:46:06Z
32;cryo;<= 0.0.6;3;2018-08-21T17:02:43Z
33;foever;>= 0;4;2020-09-01T21:15:09Z
34;soket.js;>= 0;4;2020-09-01T21:14:05Z
35;soket.io;>= 0;4;2020-09-01T21:13:01Z
36;regenraotr;>= 0;4;2020-09-01T21:11:57Z
37;regenrator;>= 0;4;2020-09-01T21:10:53Z
38;axois;>= 0;4;2020-09-01T21:09:48Z
39;njwt;< 1.0.0;1;2020-09-01T21:08:44Z
40;boogeyman;>= 0.0.0;4;2020-09-01T21:07:41Z
41;express-cart;<= 1.1.5;3;2020-09-01T21:06:38Z
44;sexstatic;<= 0.6.2;2;2018-10-01T16:30:38Z
45;pdf-image;< 2.0.0;2;2020-09-01T20:44:52Z
46;react-marked-markdown;>= 0.0.0;3;2020-09-01T20:43:48Z
47;buttle;<= 0.2.0;3;2019-04-08T15:18:38Z
48;query-mysql;<= 0.0.2;3;2018-09-10T15:20:30Z
49;html-pages;<= 2.1.2;3;2018-09-18T13:45:07Z
50;base64url;< 3.0.0;2;2020-09-01T20:42:44Z
51;ladder-text-js;>= 0;4;2020-09-01T20:41:40Z
52;nothing-js;>= 0;4;2020-09-01T20:40:36Z
53;getcookies;>= 0;4;2020-09-01T20:39:33Z
54;mcstatic;<= 0.0.20;3;2018-07-27T17:04:16Z
83;glance;<= 3.0.5;1;2018-09-27T11:37:19Z
84;metascraper;<= 3.11.8;3;2018-08-08T22:25:57Z
85;openwhisk;< 3.3.1;2;2020-09-01T19:40:41Z
86;mongoose;>= 4.0.0, <= 4.3.5;2;2020-09-01T19:39:37Z
87;mongoose;>= 3.5.5, <= 3.8.38;2;2020-09-01T19:39:37Z
88;serve;< 6.5.2;3;2020-09-01T19:38:33Z
89;general-file-server;<= 1.1.8;3;2018-07-26T15:21:04Z
90;mrk.js;< 2.0.1;3;2020-09-01T19:37:29Z
91;626;>= 0.0.0;3;2020-09-01T19:06:15Z
92;redis-commander;>= 0.0.0;1;2020-09-01T19:05:11Z
93;augustine;<= 0.2.3;3;2018-09-18T13:50:25Z
94;@vivaxy/here;<= 3.2.1;3;2020-09-01T19:04:07Z
95;featurebook;>= 0;2;2020-09-01T19:03:02Z
96;hooka-tools;>= 0.0.0;1;2020-09-01T19:01:58Z
97;discordi.js;<= 14.0.3;2;2018-08-06T21:43:03Z
101;slug;<= 0.9.1;2;2018-07-24T20:06:45Z
102;string;<= 3.3.3;3;2018-07-24T20:16:11Z
103;timespan;<= 2.3.0;1;2018-08-29T23:04:14Z
104;cross-env.js;>= 0.0.0;2;2020-09-01T19:00:54Z
105;nodesass;>= 0.0.0;2;2020-09-01T18:59:50Z
106;smb;<= 1.0.2;2;2018-08-29T23:20:27Z
107;shadowsock;> 0;2;2018-08-27T19:07:23Z
108;mongose;> 0;2;2018-10-10T17:28:21Z
109;proxy.js;<= 1.0.2;2;2018-08-29T23:19:13Z
110;http-proxy.js;<= 1.0.2;2;2018-08-29T23:16:56Z
111;crossenv;<= 1.0.1;2;2018-08-29T23:05:46Z
112;noderequest;<= 1.0.2;2;2018-09-17T20:39:17Z
113;nodemailer.js;<= 1.0.2;2;2018-08-29T23:43:53Z
114;nodemailer-js;<= 1.0.2;2;2018-08-29T23:40:01Z
115;nodecaffe;< 1.0.2;2;2018-08-29T23:38:35Z
116;nodeffmpeg;<= 1.0.2;2;2018-08-29T23:36:48Z
117;ffmepg;<= 1.0.2;2;2018-08-29T23:56:30Z
118;node-opencv;<= 1.0.2;2;2018-08-29T23:50:59Z
119;openssl.js;<= 1.0.2;2;2018-08-29T23:45:41Z
120;node-openssl;<= 1.0.2;2;2018-10-10T17:28:14Z
121;node-opensl;> 0;2;2018-10-03T20:27:55Z
122;tkinter;< 1.0.2;2;2018-11-01T14:47:21Z
123;babelcli;<= 1.0.0;2;2018-08-29T23:57:14Z
124;d3.js;<= 1.0.2;2;2018-07-23T21:00:28Z
125;gruntcli;<= 1.0.2;2;2018-11-09T17:43:52Z
126;jquery.js;<= 1.0.2;2;2018-07-23T20:54:24Z
127;mariadb;<= 1.0.2;2;2018-07-18T18:28:17Z
128;mysqljs;>= 0.0.0;2;2020-09-01T18:58:47Z
129;node-sqlite;<= 1.0.2;2;2018-07-23T21:00:07Z
130;node-sqlite;> 0;2;2018-07-23T21:00:07Z
131;nodesqlite;<= 1.0.2;2;2018-07-23T20:50:21Z
132;sqlite.js;<= 1.0.2;2;2018-07-23T20:50:29Z
133;node-fabric;<= 1.0.2;2;2018-07-23T20:50:10Z
134;nodefabric;<= 1.0.2;2;2018-07-23T20:49:58Z
135;fabric-js;<= 1.0.2;2;2018-07-23T20:50:18Z
136;sqlserver;<= 1.0.2;2;2018-11-09T17:49:22Z
137;mssql.js;<= 1.0.2;2;2018-11-09T17:43:03Z
138;botbait;>= 0.0.0;1;2020-09-01T18:57:44Z
139;nodemssql;<= 1.0.2;2;2018-11-09T17:42:54Z
140;pandora-doomsday;>= 0.0.0;2;2020-09-01T18:56:40Z
141;npm-script-demo;>= 0;2;2020-09-01T18:55:37Z
142;mssql-node;<= 1.0.2;2;2018-11-09T17:43:44Z
143;exxxxxxxxxxx;<= 1.0.2;3;2018-07-23T22:06:14Z
144;unicorn-list;<= 1.0.4;3;2018-07-23T20:49:38Z
146;lab6.brit95;<= 0.1.1;3;2018-07-23T20:48:53Z
147;lab6drewfusbyu;<= 0.1.1;3;2018-07-23T20:48:38Z
148;http_static_simple;< 0.1.1;3;2018-07-23T22:08:39Z
149;infraserver;<= 0.0.1;3;2018-07-23T20:48:29Z
150;commentapp.stetsonwood;<= 0.0.1;3;2018-07-23T20:48:14Z
151;myserver.alexcthomas18;<= 0.0.1;3;2018-07-23T20:48:05Z
152;section2.madisonjbrooks12;>= 0.0.0;3;2020-09-01T18:54:34Z
153;whispercast;<= 0.1.0;3;2018-07-23T20:45:01Z
154;utahcityfinder;<= 0.0.1;3;2018-07-23T20:45:11Z
155;ewgaddis.lab6;<= 0.1.1;3;2018-07-23T20:44:52Z
156;jansenstuffpleasework;>= 0.0.0;3;2020-09-01T18:53:29Z
157;sspa;<= 0.1.0;3;2018-07-23T20:47:02Z
158;chatbyvista;>= 0.0.0;3;2020-09-01T18:52:26Z
159;intsol-package;<= 1.0.0;3;2018-07-23T20:44:45Z
160;dasafio;>= 0.0.0;2;2020-09-01T18:51:22Z
161;serverabc;<= 1.0.0;3;2018-07-23T20:44:34Z
162;wintiwebdev;>= 0.0.0;3;2020-09-01T18:50:16Z
163;serve46;>= 0.0.0;3;2020-09-01T18:49:11Z
164;iter-server;>= 0.0.0;3;2020-09-01T18:48:05Z
165;serverxxx;<= 1.0.0;3;2018-07-23T20:43:56Z
166;scott-blanch-weather-app;>= 0.0.0;3;2020-09-01T18:46:58Z
167;yjmyjmyjm;>= 0.0.0;3;2020-09-01T18:45:53Z
168;simple-npm-registry;<= 0.0.4;3;2018-07-23T20:49:28Z
169;uekw1511server;>= 0.0.0;3;2020-09-01T18:28:08Z
170;fbr-client;<= 1.0.3;3;2018-07-23T20:39:51Z
171;360class.jansenhm;>= 0.0.0;3;2020-09-01T18:27:04Z
172;open-device;<= 4.0.1;3;2018-07-23T20:41:11Z
173;mockserve;<= 2.0.6;3;2018-07-23T20:46:55Z
174;nodeaaaaa;<= 1.3.0;3;2018-07-23T20:39:32Z
175;dgard8.lab6;<= 0.0.1;3;2018-07-23T20:39:44Z
176;reecerver;<= 0.1.2;3;2018-07-23T20:40:40Z
177;sly07;<= 0.1.2;3;2018-07-23T20:40:34Z
178;cypserver;>= 0.0.0;3;2020-09-01T18:26:00Z
179;yttivy;>= 0.0.0;3;2020-09-01T18:24:56Z
180;dcdcdcdcdc;>= 0.0.0;3;2020-09-01T18:23:52Z
181;getcityapi.yoehoehne;<= 0.0.1;3;2018-07-23T20:40:29Z
182;mfrs;>= 0.0.0;3;2020-09-01T18:22:48Z
183;picard;<= 0.3.1;3;2018-07-23T20:40:20Z
184;pytservce;>= 0.0.0;3;2020-09-01T18:21:44Z
185;qinserve;>= 0.0.0;3;2020-09-01T18:20:40Z
186;quickserver;<= 1.1.0;3;2018-07-23T20:40:14Z
187;serverzyy;>= 0.0.0;3;2020-09-01T18:19:36Z
188;ritp;<= 1.0.5;2;2018-08-06T20:03:21Z
189;shit-server;>= 0.0.0;3;2020-09-01T18:18:32Z
